record_id,license_plate_number,plate_state_region,plate_type,vehicle_type,vehicle_make,vehicle_model,vehicle_color,vehicle_year,timestamp,latitude,longitude,camera_device_id,image_path,ocr_confidence_score,weather_conditions,temperature,visibility_lighting,road_conditions,traffic_conditions,speed,direction_of_travel,event_type,error_codes_remarks,day_of_week,hour_of_day,week,month,year
809e4cec-a179-40b9-ac63-0d50443f2358,1721CTO,Idaho,Temporary,SUV,Dodge,Durango,Green,2022,2025-03-09 18:02:10,39.834186,-76.332726,CAM-001,/images/capture_0000.jpg,0.76,Rainy,30.6,Low Visibility,Dry,Congested,45,Eastbound,Speeding,Agent every development say.,Sunday,18,10,3,2025
b6d2d2af-ab66-4e24-a4ef-ae0d1e03dd20,4025AFQ,New Hampshire,Vanity,Bus,Dodge,Challenger,Red,2018,2025-03-02 21:02:00,43.876557,-74.22376,CAM-029,/images/capture_0001.jpg,0.86,Foggy,17.8,Daytime,Icy,Light,88,Northbound,Parking Violation,,Sunday,21,9,3,2025
69c28ea3-0897-494e-b289-c1cdc416a691,4428TEK,Iowa,Dealer,SUV,Hyundai,Elantra,White,2017,2025-02-28 07:04:52,25.407865,-99.111036,CAM-021,/images/capture_0002.jpg,0.81,Sunny,7.6,Daytime,Snowy,Congested,57,Southbound,Entry,,Friday,7,9,2,2025
2dcf97a7-7205-40d9-9b7c-30019d7d1642,EY3008T,Kentucky,Standard,SUV,Subaru,Forester,Orange,2020,2025-03-22 19:51:03,39.985555,-113.979111,CAM-013,/images/capture_0003.jpg,0.98,Clear,-1.3,Nighttime,Construction,Congested,1,Northeast,Exit,,Saturday,19,12,3,2025
0057af22-e3ba-4185-a106-d63b586b9c88,US5935U,Tennessee,Temporary,Car,Dodge,Grand Caravan,Yellow,2011,2025-03-14 04:53:01,40.269879,-114.714497,CAM-030,/images/capture_0004.jpg,0.85,Cloudy,17.2,Dusk,Construction,Heavy,102,Southeast,Entry,,Friday,4,11,3,2025
6f4256f3-2009-4c68-8f94-2bae44850c78,8310RUZ,California,Dealer,SUV,Audi,A3,Brown,2020,2025-03-12 23:38:15,47.526329,-120.876934,CAM-012,/images/capture_0005.jpg,0.87,Sunny,-0.2,Low Visibility,Snowy,Heavy,62,Southwest,Regular Scan,,Wednesday,23,11,3,2025
53fc8a29-10cf-4ff8-baff-17f30835f6c4,WJL8136,Minnesota,Vanity,Motorcycle,Ford,Escape,Blue,2023,2025-03-04 12:25:48,47.191417,-121.729186,CAM-010,/images/capture_0006.jpg,0.97,Clear,4.3,Daytime,Construction,Heavy,56,Northbound,Red Light,,Tuesday,12,10,3,2025
c1b22972-ed59-4412-90c4-b12b89add117,9661SEJ,Colorado,Specialty,Van,Hyundai,Elantra,Yellow,2015,2025-03-20 04:19:08,29.434394,-110.457128,CAM-028,/images/capture_0007.jpg,0.94,Rainy,17.7,Low Visibility,Dry,Heavy,30,Eastbound,Parking Violation,,Thursday,4,12,3,2025
1eeae787-1477-4a8c-80fe-52a18d09211e,6237BVU,Maine,Dealer,SUV,Kia,Soul,Blue,2022,2025-03-17 08:11:00,26.548348,-71.836717,CAM-003,/images/capture_0008.jpg,0.78,Snowy,-0.8,Dusk,Icy,Congested,94,Southeast,Regular Scan,,Monday,8,12,3,2025
7c1d8dd4-cc4f-4048-93c6-2f996171bc9f,GF9836M,North Carolina,Commercial,SUV,Ford,F-150,Brown,2018,2025-03-13 16:04:44,31.427456,-97.35785,CAM-023,/images/capture_0009.jpg,0.99,Partly Cloudy,24.2,Dusk,Wet,Light,12,Northeast,Exit,,Thursday,16,11,3,2025
