record_id,license_plate_number,plate_state_region,plate_type,vehicle_type,vehicle_make,vehicle_model,city,vehicle_color,vehicle_year,timestamp,latitude,longitude,camera_device_id,image_path,ocr_confidence_score,weather_conditions,temperature,visibility_lighting,road_conditions,traffic_conditions,speed,direction_of_travel,event_type,error_codes_remarks,day_of_week,hour_of_day,week,month,year
ddd3a182-3084-4682-aa69-49adc8352fdd,AHF7680,Paraíba,Standard,Van,Jeep,Cherokee,São Paulo,Red,2017,2025-03-16 05:16:46,-2.630879,-56.357432,BR-103,/images/capture_0000.jpg,0.75,Rainy,33.7,Low Visibility,Wet,Heavy,62,Northbound,Exit,,Sunday,5,11,3,2025
296e60c8-c26e-4ea7-bf34-e486016adb9a,ACG9A57,Mato Grosso do Sul,Diplomatic,Car,Audi,Q5,Manaus,Orange,2015,2025-03-02 16:42:24,2.187095,-59.345694,BR-126,/images/capture_0001.jpg,0.88,Cloudy,17.8,Daytime,Wet,Light,10,Southwest,Red Light,,Sunday,16,9,3,2025
ccd1f5c9-6d8d-4bf0-b4cb-b8fecb78af11,FPV0Y86,Roraima,Commercial,Bus,Honda,Accord,Campo Grande,Orange,2019,2025-03-05 09:03:24,-2.955927,-47.14196,BR-106,/images/capture_0002.jpg,0.74,Foggy,28.5,Low Visibility,Potholes,Standstill,77,Northbound,Red Light,,Wednesday,9,10,3,2025
aa57c4f2-da0a-45a3-aa5a-00ada25d5784,HFT1C33,Tocantins,Official,Truck,Renault,Stepway,São Luís,White,2018,2025-03-02 04:42:30,-2.050548,-64.761545,BR-130,/images/capture_0003.jpg,0.8,Sunny,20.6,Daytime,Potholes,Heavy,7,Northwest,Speeding,,Sunday,4,9,3,2025
b531d2bd-a27f-40bf-bbfe-bb8068d47b54,PUS8D93,Roraima,Official,Bus,Honda,HR-V,São Luís,Blue,2013,2025-03-03 02:09:39,-32.12697,-73.04011,BR-121,/images/capture_0004.jpg,0.96,Cloudy,18.4,Nighttime,Good Condition,Heavy,0,Northeast,Speeding,Ad eius dolore qui.,Monday,2,10,3,2025
f824a873-cec4-45d5-ad09-624a5b5d36aa,VQW9G70,Sergipe,Collector,Truck,Citroën,Aircross,Curitiba,Gray,2023,2025-03-07 03:41:22,-33.02559,-70.542747,BR-122,/images/capture_0005.jpg,0.98,Stormy,28.5,Nighttime,Flooded,Moderate,7,Southwest,Speeding,Assumenda in adipisci dolor magnam ad dicta.,Friday,3,10,3,2025
ffcfdc80-c778-4567-84ce-4da114121da8,UZW8348,Maranhão,Collector,Car,Nissan,Versa,Natal,Yellow,2022,2025-03-09 19:22:02,4.343805,-57.23974,BR-103,/images/capture_0006.jpg,0.82,Cloudy,22.3,Dawn,Construction,Congested,82,Westbound,Entry,,Sunday,19,10,3,2025
2c150184-0920-4e69-ad12-ef9b141ad21d,JFG9661,Minas Gerais,Official,Motorcycle,Nissan,Frontier,São Luís,Black,2020,2025-03-20 14:08:17,-24.508422,-46.820471,BR-112,/images/capture_0007.jpg,0.71,Stormy,16.6,Dusk,Flooded,Congested,2,Southeast,Regular Scan,,Thursday,14,12,3,2025
c53fdc04-2437-44b1-9cea-eb15161b2ebe,EJZ6568,Rio Grande do Norte,Temporary,Motorcycle,Volkswagen,Jetta,Curitiba,Gray,2013,2025-03-14 17:40:00,-18.612592,-35.753506,BR-103,/images/capture_0008.jpg,0.88,Rainy,15.6,Nighttime,Wet,Congested,23,Northbound,Exit,,Friday,17,11,3,2025
7c5c8320-020d-4291-8c0f-cd39ff8308a3,FAI2298,Tocantins,Diplomatic,Van,Toyota,Yaris,Belo Horizonte,Brown,2019,2025-03-04 17:01:52,-30.509816,-56.354288,BR-114,/images/capture_0009.jpg,0.79,Rainy,22.5,Daytime,Good Condition,Congested,90,Southbound,Stop Sign,In ipsum eius sit quis cum in.,Tuesday,17,10,3,2025
c9fbc7ac-f8ee-43e1-8a9f-64a007e51720,FMX7E22,Sergipe,Commercial,Motorcycle,Renault,Sandero,São Luís,Silver,2019,2025-03-18 17:03:42,-11.423296,-36.713059,BR-124,/images/capture_0010.jpg,0.9,Stormy,17.7,Nighttime,Wet,Light,74,Northwest,Regular Scan,Culpa vero excepturi at atque.,Tuesday,17,12,3,2025
6bff7b40-004b-4c05-97f4-a7caac283cea,TLP5H91,Ceará,Standard,Bus,Kia,Rio,Maceió,Red,2011,2025-03-13 06:29:43,-2.803726,-53.751702,BR-109,/images/capture_0011.jpg,0.87,Stormy,25.6,Low Visibility,Flooded,Standstill,82,Southwest,Red Light,,Thursday,6,11,3,2025
45f51d71-f2d1-4f15-93f8-e6628e4fbaa1,CBC2Z65,Pará,Temporary,Van,Audi,Q3,Salvador,Black,2014,2025-03-02 04:55:37,-21.223442,-52.319983,BR-103,/images/capture_0012.jpg,0.77,Cloudy,35.2,Dusk,Construction,Moderate,43,Southbound,Speeding,Nobis rem quas modi voluptate fugiat.,Sunday,4,9,3,2025
14f5418e-fa94-4540-85ad-a2272926c2ea,JZN8A61,Espírito Santo,Standard,SUV,Nissan,Kicks,Natal,Yellow,2021,2025-03-09 20:34:04,-15.797645,-40.214484,BR-103,/images/capture_0013.jpg,0.77,Cloudy,16.9,Low Visibility,Good Condition,Light,55,Southbound,Speeding,,Sunday,20,10,3,2025
